figure,swept,m,n,t,log2_T_Prange,log2_T_RP,bit_gain,ratio_C,eff_exponent_RP,eff_exponent_Prange,levels
"plot(2^12,1589,172,m+)",m,6900,1589,172,96.3410497455111,90.55205606987667,5.78899367563443,0.939911453207887,2.319447529815364,2.8638378118020507,45
"plot(2^12,1589,172,m+)",m,7050,1589,172,94.72120676556838,89.04374997115173,5.677456794416656,0.9400613971434278,2.3299711103322536,2.863872592776176,46
"plot(2^12,1589,172,m+)",m,7200,1589,172,93.17955426604459,87.61127115207161,5.568283113972981,0.9402413634854432,2.3402724492622475,2.863907364835937,47
"plot(2^10,652,106,n+)",n,1024,650,106,196.5727674378935,185.32628313666078,11.246484301232726,0.9427871701262688,1.6686102109481962,2.8721770084963683,8
"plot(2^10,652,106,n+)",n,1024,660,106,201.51223322195605,190.08158146352451,11.430651758431537,0.9432756434898857,1.6515714725867292,2.8719706321464926,7
"plot(2^10,652,106,n+)",n,1024,670,106,206.61317631827302,195.0102745929969,11.602901725276126,0.9438423921841138,1.6358425131687158,2.8717692666684633,7
"plot(2^10,652,106,n+)",n,1024,680,106,211.88693034656137,200.12433801255938,11.762592334001994,0.9444864658959231,1.621481973631763,2.871572698295629,7
"plot(2^10,652,106,n+)",n,1024,690,106,217.3460654625301,205.40127747792567,11.944787984604432,0.9450425386850921,1.6047619800391577,2.871380725975676,7
"plot(2^10,652,106,n+)",n,1024,700,106,223.00457817241107,210.86686991938035,12.137708253030723,0.9455719324127655,1.5869441779946165,2.8711931604170986,6
"plot(2^10,652,106,n+)",n,1024,710,106,228.87811942817515,216.57561534047525,12.302504087699901,0.9462486666771107,1.5721367295778745,2.8710098232209567,6
"plot(2^10,652,106,n+)",n,1024,720,106,234.98427078670034,222.50148011197544,12.482790674724896,0.9468781862167457,1.555724786650947,2.8708305460891923,6
"plot(2^10,652,106,n+)",n,1024,730,106,241.34288150170298,228.67341220503536,12.669469296667614,0.9475042760000435,1.538674644761861,2.870655170101693,6
"plot(2^10,652,106,n+)",n,1024,740,106,247.97648368259857,235.12381211750326,12.852671565095307,0.9481697966910996,1.5220251271084007,2.870483545055203,6
"plot(2^10,652,106,n+)",n,1024,750,106,254.9108086394993,241.86047488311422,13.050333756385072,0.9488043138459414,1.5038952844895102,2.870315528858014,6
"plot(2^12,1589,172,n+)",n,4096,1590,172,155.78062715250954,147.0202916467046,8.760335505804932,0.9437649233673417,2.039437991834366,2.863179519960856,23
"plot(2^12,1589,172,n+)",n,4096,1610,172,157.8906379834419,149.05012802658285,8.840509956859051,0.9440086501025718,2.033178244732814,2.863051389349485,23
"plot(2^12,1589,172,n+)",n,4096,1630,172,160.0172808311881,151.09145985143758,8.925820979750512,0.9442196434448421,2.0264428715967804,2.8629257243255353,23
"plot(2^12,1589,172,n+)",n,4096,1650,172,162.1608619766709,153.15805775005688,9.002804226614018,0.9444822621385104,2.0204939268399826,2.862802440041724,22
"plot(2^12,1589,172,n+)",n,4096,1670,172,164.3216946235192,155.23371619182936,9.087978431689834,0.9446939830281602,2.0137845290936944,2.862681455763686,22
"plot(2^12,1589,172,n+)",n,4096,1690,172,166.5000991792384,157.3264705739548,9.173628605283596,0.944903164319391,2.007037816583024,2.862562694616811,21
"plot(2^12,1589,172,n+)",n,4096,1710,172,168.69640354610013,159.44930124458165,9.247102301518481,0.9451849469986389,2.0014320051774264,2.8624460833517578,21
